deal_id,announced_date,deal_name,acquirer,target_or_partner,deal_type,capability_area,region,deal_value_usd_m,deal_value_disclosed,strategic_rationale,build_buy_partner,source_name,source_url,status
D001,2023-02-27,JetBlue-Spirit Merger Agreement,JetBlue Airways,Spirit Airlines,Acquisition,Network/Fleet Scale,North America,3800,True,"JetBlue sought to add scale and low-cost capacity to compete with the Big Four; deal was later blocked on antitrust grounds in Jan 2024, illustrating regulatory risk in airline-to-airline M&A.",Buy,DOT/DOJ Press Release,https://www.justice.gov/opa/pr/justice-department-sues-block-jetblue-spirit-merger,Blocked
D002,2016-11-08,Alaska Air-Virgin America Acquisition,Alaska Air Group,Virgin America,Acquisition,Network/Fleet Scale,North America,2600,True,"Alaska acquired Virgin America to gain West Coast slots, gates, and premium brand positioning against larger network carriers.",Buy,SEC 8-K Filing,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000766421,Completed
D003,2010-05-03,United-Continental Merger,United Airlines,Continental Airlines,Acquisition,Network/Fleet Scale,North America,3000,True,"Merger created the world's largest airline at the time, combining complementary domestic and international route networks.",Buy,DOT Order,https://www.transportation.gov/,Completed
D004,2008-04-14,Delta-Northwest Merger,Delta Air Lines,Northwest Airlines,Acquisition,Network/Fleet Scale,North America,3100,True,"Delta gained Northwest's Asia-Pacific and Midwest network, becoming the largest airline globally upon close.",Buy,DOT Order,https://www.transportation.gov/,Completed
D005,2013-12-09,American-US Airways Merger,American Airlines,US Airways,Acquisition,Network/Fleet Scale,North America,11000,True,"Merger out of American's bankruptcy created the largest airline in the world by fleet size, combining US Airways' Star Alliance-adjacent network with AA's international reach.",Buy,DOT Order,https://www.transportation.gov/,Completed
D006,2020-04-27,Delta-LATAM Equity Investment,Delta Air Lines,LATAM Airlines,Equity Stake,Regional Connectivity,Latin America,1900,True,"Delta took a minority equity stake and replaced American Airlines as LATAM's North American JV partner, securing connectivity into South America without the cost of a full acquisition.",Partner,Delta Press Release,https://news.delta.com/,Completed
D007,2019-04-25,American-GOL Codeshare and Equity,American Airlines,GOL Linhas Aereas,Equity Stake,Regional Connectivity,Latin America,200,True,"American invested in GOL to deepen Brazil connectivity after losing the LATAM JV, pairing equity with a codeshare to preserve South American feed.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D008,2022-09-29,American-JetSMART Codeshare,American Airlines,JetSMART,Codeshare,Regional Connectivity,Latin America,0,False,"Codeshare extends American's reach into Chile, Argentina, and Peru via a low-cost partner without capital outlay, complementing the GOL relationship.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D009,2020-01-10,American-Alaska Airlines JV Expansion,American Airlines,Alaska Airlines,Codeshare,Regional Connectivity,North America,0,False,"Expanded West Coast codeshare and loyalty reciprocity to backfill network reach after American exited some West Coast markets.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D010,2020-04-24,American-JetBlue Northeast Alliance,American Airlines,JetBlue Airways,Joint Venture,Regional Connectivity,North America,0,False,"NEA combined schedules at JFK, LGA, and Boston to better compete with Delta in the Northeast; later unwound after a 2023 court ruling found it anticompetitive.",Partner,DOT Order,https://www.transportation.gov/,Unwound
D011,2008-07-29,Delta-Air France-KLM Transatlantic JV,Delta Air Lines,Air France-KLM,Joint Venture,Network/Fleet Scale,Europe,0,False,"Antitrust-immunized transatlantic joint venture allows metal-neutral revenue sharing across the Atlantic, a template AA later joined via its own JV with British Airways and Iberia.",Partner,DOT Order,https://www.transportation.gov/,Completed
D012,2010-07-01,American-British Airways-Iberia Transatlantic JV,American Airlines,British Airways/Iberia/Finnair,Joint Venture,Network/Fleet Scale,Europe,0,False,"Revenue-sharing JV across the Atlantic lets American capture share of connecting itineraries without owning European feeder routes.",Partner,DOT Order,https://www.transportation.gov/,Completed
D013,2021-02-12,American-China Southern Investment Talks,American Airlines,China Southern Airlines,Equity Stake,Regional Connectivity,Asia-Pacific,150,True,"American sold its minority stake in China Southern in 2023 as part of a broader pivot away from low-yield long-haul Asia routes toward partnership-light models.",Partner,American Airlines 10-K,https://ir.aa.com/,Completed
D014,2022-05-19,Lufthansa-ITA Airways Stake,Lufthansa Group,ITA Airways,Equity Stake,Network/Fleet Scale,Europe,829,True,"Lufthansa acquired 41% (with path to full control) of Italy's flag carrier to extend its multi-brand group strategy and secure Italian feed into its European hubs.",Buy,European Commission Merger Decision,https://ec.europa.eu/competition/,Completed
D015,2022-06-27,Air France-KLM-SAS Investment,Air France-KLM,SAS,Equity Stake,Network/Fleet Scale,Europe,144,True,"Air France-KLM joined a consortium investing in SAS's restructuring, gaining Scandinavian feed for its hub-and-spoke network as SAS exited Chapter 11.",Buy,SAS Press Release,https://www.sasgroup.net/,Completed
D016,2023-08-29,IAG-Air Europa Acquisition Agreement,International Airlines Group,Air Europa,Acquisition,Network/Fleet Scale,Europe,1100,True,"IAG (parent of British Airways and Iberia) sought full control of Air Europa to consolidate Madrid hub traffic and strengthen Latin America connectivity from Spain.",Buy,IAG Press Release,https://www.iairgroup.com/,Pending
D017,2023-11-29,American Airlines-Boeing 787 MRO Deal,American Airlines,GE Aerospace,Tech Partnership,MRO,North America,0,False,"Long-term engine maintenance agreement secures GE-built engine support for AA's widebody fleet, illustrating a 'partner' approach to MRO rather than building in-house capability.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D018,2018-09-14,Delta TechOps-Air France Industries Tie-up,Delta Air Lines,Air France Industries KLM Engineering,Tech Partnership,MRO,Europe,0,False,"Delta TechOps and AFI KLM E&M expanded a long-running MRO joint venture for engine overhaul, pooling volume to compete with AAR and Lufthansa Technik for third-party MRO contracts.",Partner,Delta Press Release,https://news.delta.com/,Completed
D019,2021-03-01,Lufthansa Technik-Etihad MRO JV,Lufthansa Technik,Etihad Airways Engineering,Joint Venture,MRO,Middle East,0,False,"JV combines Lufthansa Technik's component expertise with Etihad's Abu Dhabi facility to build a regional MRO hub serving Gulf and South Asian carriers.",Partner,Lufthansa Technik Press Release,https://www.lufthansa-technik.com/,Completed
D020,2019-06-17,AAR Corp-Honeywell Components JV,AAR Corp,Honeywell,Joint Venture,MRO,North America,0,False,"AAR partnered with Honeywell on component repair to capture OEM-authorized work rather than building proprietary repair capability from scratch.",Partner,AAR Corp Press Release,https://www.aarcorp.com/,Completed
D021,2021-12-20,United-CFM Engine Order with Maintenance Bundle,United Airlines,CFM International,Tech Partnership,MRO,North America,0,False,"Engine order bundled with long-term maintenance support, a common build-vs-buy decision where airlines partner with OEMs rather than insourcing engine overhaul.",Partner,United Airlines Press Release,https://hub.united.com/,Completed
D022,2023-09-13,American Airlines-AAdvantage Loyalty Financing,American Airlines,Citi/Barclays,Tech Partnership,Loyalty Tech,North America,0,False,"American restructured its co-brand credit card economics with Citi and Barclays, treating loyalty as a financed asset rather than building new payments infrastructure.",Partner,American Airlines 8-K,https://ir.aa.com/,Completed
D023,2020-09-15,United-Mileage Plus Financing,United Airlines,Goldman Sachs/Barclays,Tech Partnership,Loyalty Tech,North America,6800,True,"United pledged its MileagePlus loyalty program as collateral for pandemic-era financing, underscoring how loyalty platforms have become core strategic assets, not just marketing tools.",Partner,United Airlines SEC Filing,https://ir.united.com/,Completed
D024,2022-01-26,Delta-American Express Loyalty Renewal,Delta Air Lines,American Express,Tech Partnership,Loyalty Tech,North America,0,False,"Extended co-brand agreement through 2029, with Amex funding loyalty currency in exchange for cardholder acquisition, the dominant 'partner' model for loyalty monetization among US majors.",Partner,Delta Press Release,https://news.delta.com/,Completed
D025,2021-04-15,Air Canada-Aeroplan Tech Rebuild,Air Canada,Accenture,Tech Partnership,Loyalty Tech,North America,0,False,"Air Canada partnered with a systems integrator to rebuild its Aeroplan loyalty platform in-house after buying back the program from Aimia, a hybrid build/partner approach.",Build,Air Canada Press Release,https://www.aircanada.com/,Completed
D026,2023-05-02,Southwest-Amadeus Reservations Migration,Southwest Airlines,Amadeus,Tech Partnership,Distribution/Loyalty Tech,North America,0,False,"Southwest's multi-year migration to Amadeus Altea reflects a buy-not-build decision for core reservations and distribution infrastructure, ending decades of legacy in-house systems.",Buy,Southwest Airlines Press Release,https://www.swamedia.com/,Pending
D027,2022-03-15,JetBlue-Hawaiian Codeshare Talks,JetBlue Airways,Hawaiian Airlines,Codeshare,Regional Connectivity,North America,0,False,"Exploratory codeshare discussions reflect smaller carriers using partnership to extend network reach ahead of the later Alaska-Hawaiian acquisition.",Partner,Trade Press (Reuters),https://www.reuters.com/,Explored
D028,2023-12-03,Alaska Air-Hawaiian Airlines Merger,Alaska Air Group,Hawaiian Airlines,Acquisition,Network/Fleet Scale,North America,1900,True,"Alaska acquired Hawaiian to add Pacific and inter-island network plus widebody fleet, diversifying beyond its West Coast-centric route map; cleared by DOJ in 2024.",Buy,DOT/DOJ Order,https://www.justice.gov/,Completed
D029,2023-01-31,Emirates-flydubai Codeshare Deepening,Emirates,flydubai,Codeshare,Regional Connectivity,Middle East,0,False,"Deepened codeshare lets Emirates feed long-haul widebody traffic from flydubai's narrowbody regional network without merging fleets or balance sheets.",Partner,Emirates Press Release,https://www.emirates.com/media-centre/,Completed
D030,2022-11-02,IndiGo-Air India Express Codeshare Talks,InterGlobe Aviation,Air India,Codeshare,Regional Connectivity,Asia-Pacific,0,False,"Reflects Indian carriers exploring partnership-based connectivity as competition intensifies following Air India's privatization and Tata Group's consolidation of AirAsia India.",Partner,Trade Press (Reuters),https://www.reuters.com/,Explored
D031,2022-08-11,Tata Group-Air India-Vistara Merger,Tata Sons,Vistara,Acquisition,Network/Fleet Scale,Asia-Pacific,0,False,"Tata consolidated its airline holdings (Air India, Vistara, AirAsia India, Air India Express) into two carriers to eliminate brand overlap and capture full-service vs. low-cost segmentation.",Buy,Tata Group Press Release,https://www.tata.com/newsroom,Completed
D032,2023-02-14,Air India-Boeing/Airbus Mega Order with Financing Partnership,Air India,Boeing/Airbus/GE/CFM,Tech Partnership,Fleet/MRO,Asia-Pacific,0,False,"470-aircraft order bundled with engine and financing partnerships signals Air India building fleet scale via OEM partnership rather than secondary market acquisition.",Partner,Air India Press Release,https://www.airindia.com/,Completed
D033,2021-07-23,Qatar Airways-Cathay Pacific Cargo JV Talks,Qatar Airways,Cathay Pacific,Joint Venture,Cargo/Regional Connectivity,Asia-Pacific,0,False,"Explored cargo capacity-sharing JV to optimize belly-cargo space across Middle East-Asia routes amid pandemic-driven cargo demand spikes.",Partner,Trade Press (FlightGlobal),https://www.flightglobal.com/,Explored
D034,2021-09-30,Etihad-Air Arabia Abu Dhabi JV,Etihad Airways,Air Arabia,Joint Venture,Regional Connectivity,Middle East,0,False,"Etihad and Air Arabia formed a JV low-cost carrier (Wizz Air Abu Dhabi predecessor structure) to capture price-sensitive regional traffic without diluting Etihad's premium brand.",Partner,Etihad Press Release,https://www.etihad.com/en-us/news,Completed
D035,2020-01-15,Wizz Air-Abu Dhabi JV (Wizz Air Abu Dhabi),Wizz Air,Abu Dhabi Developmental Holding Co,Joint Venture,Regional Connectivity,Middle East,0,False,"JV gave Wizz Air a Gulf operating base and ADQ a low-cost carrier platform, a capital-light entry into a new region for both partners.",Partner,Wizz Air Press Release,https://wizzair.com/en-gb/information-and-services/press-releases,Completed
D036,2023-06-15,Saudia-flyadeal Domestic Codeshare,Saudia Group,flyadeal,Codeshare,Regional Connectivity,Middle East,0,False,"Codeshare within Saudia's own group structure optimizes feed between full-service and low-cost subsidiaries ahead of Saudi aviation sector liberalization (Riyadh Air launch).",Partner,Saudia Press Release,https://www.saudia.com/,Completed
D037,2022-09-12,Saudi Arabia-Riyadh Air Launch (Build),Public Investment Fund,Riyadh Air,Joint Venture,Network/Fleet Scale,Middle East,0,False,"PIF chose to build a new national carrier from scratch rather than acquire/restructure Saudia, a rare 'build' example in a sector dominated by M&A and partnership.",Build,PIF Press Release,https://www.pif.gov.sa/,Completed
D038,2023-10-09,United-Emirates Codeshare,United Airlines,Emirates,Codeshare,Regional Connectivity,Middle East,0,False,"First codeshare between United and Emirates extends United's reach into the Gulf and South Asia, filling a long-standing network gap versus Delta-Aeromexico and AA-Qatar ties.",Partner,United Airlines Press Release,https://hub.united.com/,Completed
D039,2021-04-01,American-Qatar Airways Codeshare Expansion,American Airlines,Qatar Airways,Codeshare,Regional Connectivity,Middle East,0,False,"Expanded codeshare gives American connecting feed across the Middle East and South Asia without the capital cost of long-haul widebody expansion into the region.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D040,2022-12-01,American Airlines-Boom Supersonic Order,American Airlines,Boom Supersonic,Tech Partnership,Next-Gen Aircraft,North America,0,False,"Pre-order and deposit for supersonic aircraft reflects a partnership-based bet on next-gen technology rather than internal R&D investment, hedging against competitor moves (United also ordered).",Partner,American Airlines Press Release,https://news.aa.com/,Pending
D041,2021-06-03,United-Boom Supersonic Order,United Airlines,Boom Supersonic,Tech Partnership,Next-Gen Aircraft,North America,0,False,"United's order for 15 Overture aircraft signals early positioning in supersonic travel via OEM partnership rather than acquiring supersonic IP outright.",Partner,United Airlines Press Release,https://hub.united.com/,Pending
D042,2022-02-07,United-Archer Aviation eVTOL Investment,United Airlines,Archer Aviation,Equity Stake,Next-Gen Aircraft,North America,10,True,"United invested in and pre-ordered eVTOL aircraft from Archer to position for urban air mobility/airport shuttle services without building eVTOL manufacturing capability internally.",Partner,United Airlines Press Release,https://hub.united.com/,Completed
D043,2021-10-26,American Airlines-Vertical Aerospace eVTOL Investment,American Airlines,Vertical Aerospace,Equity Stake,Next-Gen Aircraft,Europe,25,True,"American took an equity stake and placed a conditional order for eVTOL aircraft, mirroring United's Archer bet as both legacy carriers hedge on urban air mobility via minority investment.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D044,2023-01-10,Delta-Joby Aviation eVTOL Partnership,Delta Air Lines,Joby Aviation,Equity Stake,Next-Gen Aircraft,North America,60,True,"Delta invested in Joby and plans to integrate eVTOL airport transfers into its passenger app, a capability-light way to test urban air mobility demand before committing capital to infrastructure.",Partner,Delta Press Release,https://news.delta.com/,Completed
D045,2023-07-12,American Airlines-Universal Hydrogen Partnership,American Airlines,Universal Hydrogen,Tech Partnership,Sustainability/Next-Gen,North America,0,False,"Conditional order for hydrogen-powered regional aircraft retrofit kits lets American explore decarbonization technology without owning the underlying conversion IP.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D046,2022-04-21,United-CFM/ZeroAvia SAF and Hydrogen Investment,United Airlines,ZeroAvia,Equity Stake,Sustainability,North America,0,False,"United's venture arm (United Airlines Ventures) invested in hydrogen-electric engine development as part of a portfolio approach to sustainability technology betting across multiple partners.",Partner,United Airlines Press Release,https://hub.united.com/,Completed
D047,2021-01-12,Delta-DataArt/Microsoft Cloud Modernization,Delta Air Lines,Microsoft,Tech Partnership,IT/Cloud Infrastructure,North America,0,False,"Multi-year cloud and AI partnership with Microsoft to modernize operations and customer experience systems, a buy/partner approach to core IT infrastructure versus building proprietary cloud.",Partner,Delta Press Release,https://news.delta.com/,Completed
D048,2023-03-29,American Airlines-IBM AI Partnership for Ops,American Airlines,IBM,Tech Partnership,IT/Operations Tech,North America,0,False,"Partnership applies AI/ML to irregular operations recovery (crew, gate, and schedule disruption), illustrating a partner-led approach to operational AI rather than building ML infrastructure in-house.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
D049,2020-08-25,Southwest-Amazon Web Services Cloud Migration,Southwest Airlines,Amazon Web Services,Tech Partnership,IT/Cloud Infrastructure,North America,0,False,"Southwest selected AWS as its cloud provider to support direct-to-consumer applications and operational resilience, a buy decision for infrastructure to focus internal engineering on customer-facing features.",Partner,Southwest Airlines Press Release,https://www.swamedia.com/,Completed
D050,2019-05-13,Lufthansa Group-Amadeus Distribution Surcharge Standoff,Lufthansa Group,Amadeus/Sabre/Travelport,Tech Partnership,Distribution Tech,Europe,0,False,"Lufthansa's NDC surcharge on legacy GDS bookings pushed distribution toward direct/API channels, reshaping airline-GDS partnership economics industry-wide.",Partner,Lufthansa Group Press Release,https://www.lufthansagroup.com/en/newsroom.html,Completed
D051,2024-01-25,Alaska-Hawaiian DOJ Clearance,Alaska Air Group,Hawaiian Airlines,Acquisition,Network/Fleet Scale,North America,1900,True,"DOJ declined to challenge the merger after it found limited nonstop route overlap, contrasting with the JetBlue-Spirit block and showing how overlap analysis drives antitrust outcomes in airline M&A.",Buy,DOJ Press Release,https://www.justice.gov/opa,Completed
D052,2018-04-30,American-Alaska Loyalty Reciprocity Update,American Airlines,Alaska Airlines,Tech Partnership,Loyalty Tech,North America,0,False,"Updated mileage-earning reciprocity agreement to retain partnership value for elite flyers on both networks following Alaska's expansion after the Virgin America acquisition.",Partner,American Airlines Press Release,https://news.aa.com/,Completed
